标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
纽宾凯锦城开阔 视野采光好 品牌家私紧凑三房 随时看房,3室2厅,92m²,高层(共33层),2015年建造,17878元/m²,165万,南北通透环境优美,纽宾凯国际社区锦城  汉阳-四新-芳草路,https://wuhan.anjuke.com/prop/view/A1792366311?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa140.03857107&position=2351&kwtype=filter&now_time=1571040901
名湖豪庭 毛坯3房2厅2卫 自己设计 南北通透 户型好 看房,3室2厅,116m²,高层(共33层),2013年建造,18103元/m²,210万,南北通透环境优美,名湖豪庭  江夏-庙山-天际路,https://wuhan.anjuke.com/prop/view/A1864228269?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa210.34534825&position=2352&kwtype=filter&now_time=1571040901
金银湖蓝光林肯公园，少有的精装修次新房，拎包入户，业主急售。,3室2厅,101m²,低层(共40层),2016年建造,13366元/m²,135万,近地铁交通便利品质小区,蓝光林肯公园  硚口-古田-长谊路,https://wuhan.anjuke.com/prop/view/A1781719689?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa2d6.03737549&position=2353&kwtype=filter&now_time=1571040901
双地铁口 金域天下精装三房 楼层好品牌家居家电直接入住,3室2厅,108m²,高层(共34层),2015年建造,16991元/m²,184万,近地铁交通便利繁华地段,佳兆业金域天下  洪山-白沙洲-烽胜路36号,https://wuhan.anjuke.com/prop/view/A1868217825?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa3a3.91460139&position=2354&kwtype=filter&now_time=1571040901
福星惠誉榜样 精装 后湖大道 温馨小两房 通透户型,2室1厅,60m²,高层(共27层),2017年建造,17500元/m²,105万,配套成熟繁华地段品质小区,福星惠誉榜YOUNG(商住楼)  江岸-百步亭-后湖大道,https://wuhan.anjuke.com/prop/view/A1843485249?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa474.53492308&position=2355&kwtype=filter&now_time=1571040901
奥山开发 居家三房 三地铁 繁华聚集 五大生态 公园环绕,3室2厅,98m²,中层(共34层),2018年建造,14796元/m²,145万,新房房源近地铁环境优美,"奥山汉口澎湃城  东西湖-吴家山-临空港大道,近三店西路",https://wuhan.anjuke.com/prop/view/A1849697481?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa541.95291580&position=2356&kwtype=filter&now_time=1571040901
碧桂园生态城左岸 花山河楚河汉街 俯瞰严西湖 您的置业,4室2厅,138m²,高层(共18层),2016年建造,13043元/m²,180万,南北通透,碧桂园生态城左岸  洪山-光谷东-夏芒路28号,https://wuhan.anjuke.com/prop/view/A1866310509?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa608.18403211&position=2357&kwtype=filter&now_time=1571040901
钰龙旭辉半岛 墨水湖湿地公园 超醉单价 中高层看湖美 诚售,3室2厅,120m²,高层(共33层),2017年建造,17917元/m²,215万,近地铁环境优美品质小区,钰龙旭辉半岛  汉阳-建港-麒麟路1号,https://wuhan.anjuke.com/prop/view/A1862086773?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa6d8.87771268&position=2358&kwtype=filter&now_time=1571040901
提头带看光谷东政务旁朗诗里程毛坯大三房房东诚心出售,3室2厅,84m²,低层(共30层),2018年建造,17457元/m²,147.3万,南北通透环境优美,朗诗里程  洪山-光谷东-光谷六路,https://wuhan.anjuke.com/prop/view/A1866382383?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa7a5.46023598&position=2359&kwtype=filter&now_time=1571040901
书城路 珞珈雅苑 精装两房 诚售 户型正 公摊小 旁边8号线,2室2厅,89m²,中层(共32层),2015年建造,19663元/m²,175万,南北通透,珞珈雅苑  洪山-新南湖-书城路,https://wuhan.anjuke.com/prop/view/A1747013619?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa868.02398924&position=2360&kwtype=filter&now_time=1571040901
中南路 煤炭设计院 对口梅苑小学 两房朝南 南北通透看房方便,2室1厅,59m²,高层(共7层),2000年建造,21162元/m²,126万,近地铁繁华地段品质小区,煤炭设计院宿舍  武昌-中南路-武珞路,https://wuhan.anjuke.com/prop/view/A1820526429?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85caa938.98161861&position=2361&kwtype=filter&now_time=1571040901
蓝光林肯公园，南北通透正规三房红本在手诚心出售,3室2厅,123m²,低层(共47层),2016年建造,12358元/m²,152万,近地铁环境优美品质小区,蓝光林肯公园  硚口-古田-长谊路,https://wuhan.anjuke.com/prop/view/A1837598781?from=filter&spread=commsearch_p&uniqid=pc5da42e85caa9f0.49711879&position=2362&kwtype=filter&now_time=1571040901
店长！香榭丽舍南北中等装修紧售！！随时可约看房！老证,3室2厅,137m²,高层(共7层),2000年建造,11355元/m²,156万,近地铁近学校南北通透,美好愿景香榭丽舍  蔡甸-郭徐岭广场-神龙大道119号,https://wuhan.anjuke.com/prop/view/A1837052211?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42e85caaac3.79784612&position=2363&kwtype=filter&now_time=1571040901
文化大道地铁口大花岭商圈 南车花园  精装修 随时看房,1室2厅,60m²,高层(共25层),2014年建造,14667元/m²,88万,近地铁配套成熟品质小区,南车花园  江夏-文化大道-大花岭街,https://wuhan.anjuke.com/prop/view/A1845904881?from=filter&spread=commsearch_p&uniqid=pc5da42e85caab99.55765885&position=2364&kwtype=filter&now_time=1571040901
（推荐）金地澜菲溪岸 毛坯三房 品质小区 绿化高 首付45万,3室2厅,95m²,低层(共34层),2016年建造,15579元/m²,148万,,金地澜菲溪岸J8地块  汉阳-四新-梅林西路,https://wuhan.anjuke.com/prop/view/A1867247895?from=filter&spread=commsearch_p&uniqid=pc5da42e85caac66.93810776&position=2365&kwtype=filter&now_time=1571040901
"团结大道 保利城 三期78平 毛坯 朝南两房 有钥匙,边户",2室2厅,78m²,中层(共29层),2016年建造,22051元/m²,172万,近地铁主卧朝南大两房,保利城  洪山-铁机路-铁机西路,https://wuhan.anjuke.com/prop/view/A1866675279?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85caad31.63507918&position=2366&kwtype=filter&now_time=1571040901
联投龙湾三期，86平毛坯大两房，一口价95万全款，到价就签。,2室2厅,85m²,低层(共33层),2015年建造,11176元/m²,95万,安全性高繁华地段品质小区,联投龙湾(三期)  江夏-文化大道-武昌大道,https://wuhan.anjuke.com/prop/view/A1848627741?from=filter&spread=commsearch_p&uniqid=pc5da42e85caadf7.60647143&position=2367&kwtype=filter&now_time=1571040901
房 精装修三房 小区中间位置  中间楼层 房东诚信急售,3室2厅,104m²,中层(共33层),2015年建造,19231元/m²,200万,南北通透环境优美,名湖豪庭  江夏-庙山-天际路,https://wuhan.anjuke.com/prop/view/A1792094799?from=filter&spread=commsearch_p&uniqid=pc5da42e85caaec6.41255924&position=2368&kwtype=filter&now_time=1571040901
老证税少 上育才 解放大道轻轨旁 精装电梯三房 百步亭现代城,3室2厅,95m²,低层(共32层),2011年建造,20000元/m²,190万,近地铁环境优美素质住户,百步亭现代城二区  江岸-百步亭-百花路,https://wuhan.anjuke.com/prop/view/A1859117241?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85caaf94.06984164&position=2369&kwtype=filter&now_time=1571040901
千年美丽毛坯三房  随时看房 公园式环境 对口南湖小学,3室2厅,129m²,共4层,2007年建造,9245元/m²,120万,交通便利安全性高品质小区,人信千年美丽北区  蔡甸-天鹅湖大道-大沌线,https://wuhan.anjuke.com/prop/view/A1842397113?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab051.86019251&position=2370&kwtype=filter&now_time=1571040901
樶新挂牌 中央花园城 经典两房 税少 房东急售 速来秒,2室2厅,81m²,中层(共18层),2015年建造,7901元/m²,64万,配套成熟交通便利繁华地段,阳光新港中央花园城  新洲-阳逻开发区-余泊南路,https://wuhan.anjuke.com/prop/view/A1827680745?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab120.87256571&position=2371&kwtype=filter&now_time=1571040901
32万首付月供4500即买庙山新小区毛坯小三房，本周必卖房源,3室2厅,88m²,高层(共32层),2017年建造,11705元/m²,103万,环境优美次新小区品质小区,东方雨林  江夏-庙山-阳光大道,https://wuhan.anjuke.com/prop/view/A1864440435?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab1e4.30430478&position=2372&kwtype=filter&now_time=1571040901
低市价20万 锦绣龙城 南北通透两房 忍痛抛售 满二 随时看,2室2厅,91m²,中层(共27层),2009年建造,15831元/m²,145万,近学校南北通透环境优美,锦绣龙城I区  洪山-光谷软件园-龙城路,https://wuhan.anjuke.com/prop/view/A1803155943?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da42e85cab2b9.65273559&position=2373&kwtype=filter&now_time=1571040901
武昌保利城专盘高楼层 南北通通透 前后双阳台，急售 满2年,3室2厅,106m²,高层(共31层),2016年建造,21321元/m²,226万,近地铁环境优美品质小区,保利城  洪山-铁机路-铁机西路,https://wuhan.anjuke.com/prop/view/A1852833513?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85cab384.75846245&position=2374&kwtype=filter&now_time=1571040901
保利新武昌 96平精装三房 165万 钻石楼层 采光好 急售,3室2厅,96m²,高层(共40层),2018年建造,17188元/m²,165万,近地铁繁华地段品质小区,保利新武昌  洪山-白沙洲-烽胜路,https://wuhan.anjuke.com/prop/view/A1760899323?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab447.85595022&position=2375&kwtype=filter&now_time=1571040901
金源世界中心精装正规三房，随时看房啊，总价低的电梯三房！,3室2厅,84m²,高层(共25层),2000年建造,21310元/m²,179万,安全性高繁华地段品质小区,金源世界中心  江岸-江汉路-中山大道岳飞街21号,https://wuhan.anjuke.com/prop/view/A1823006703?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab519.88505724&position=2376&kwtype=filter&now_time=1571040901
仁义社区旁袁家墩社区精装两居室户型好老证 买来直上沈阳路小学,2室1厅,65m²,共3层,1998年建造,25582元/m²,168万,近地铁主卧朝南中国风,四唯街袁家社区  江岸-永清街-解放大道1272号,https://wuhan.anjuke.com/prop/view/A1856881317?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85cab5e9.22307699&position=2377&kwtype=filter&now_time=1571040901
超便宜 花山 软件新城旁 亿达云山湖 毛坯两房 刚需 有钥匙,2室2厅,78m²,低层(共15层),2014年建造,14575元/m²,115万,南北通透,亿达云山湖  洪山-光谷东-花城北路,https://wuhan.anjuke.com/prop/view/A1866316863?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab6a3.82623948&position=2378&kwtype=filter&now_time=1571040901
光谷南 金融港附近 卡梅尔旁 天纵水晶郦都精装三房 降价急卖,3室2厅,87m²,低层(共32层),2015年建造,13501元/m²,118万,配套成熟繁华地段品质小区,天纵水晶郦都  江夏-东湖高新-光谷一路,https://wuhan.anjuke.com/prop/view/A1814089233?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab779.52326189&position=2379&kwtype=filter&now_time=1571040901
古田二路汉口春天精装三房南北通透采光佳有钥匙看房方便,3室2厅,118m²,高层(共21层),2010年建造,17797元/m²,210万,近地铁近学校配套成熟,汉口春天  硚口-古田-解放大道109号,https://wuhan.anjuke.com/prop/view/A1864961733?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42e85cab842.03346654&position=2380&kwtype=filter&now_time=1571040901
中建文华星城 毛坯三房 随时看房 品质小区 配套成熟 绿化高,3室2厅,113m²,高层(共34层),2017年建造,14159元/m²,160万,,"中建文华星城  江夏-文化大道-文化大道,近红旗街",https://wuhan.anjuke.com/prop/view/A1851330477?from=filter&spread=commsearch_p&uniqid=pc5da42e85cab918.05626826&position=2381&kwtype=filter&now_time=1571040901
水果湖 省委旁 张家湾小区 电梯三房 对口一小 诚售随时可看,3室2厅,140m²,中层(共24层),1998年建造,28429元/m²,398万,近地铁近学校南北通透,张家湾小区  武昌-水果湖-东三路20号,https://wuhan.anjuke.com/prop/view/A1856267985?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42e85cab9e0.06671526&position=2382&kwtype=filter&now_time=1571040901
地铁口物业 南北通透大2房 产证满二税少 有钥匙 随时看,2室2厅,91m²,中层(共32层),2015年建造,14176元/m²,129万,近地铁环境优美低密度,南车花园  江夏-文化大道-大花岭街,https://wuhan.anjuke.com/prop/view/A1864074585?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabab6.89501444&position=2383&kwtype=filter&now_time=1571040901
宏图置业 兰亭都荟 正江腾广场 小两房 价格美丽 诚心急售,2室1厅,55m²,高层(共32层),2010年建造,20000元/m²,110万,近地铁配套成熟环境优美,广电兰亭都荟  汉阳-钟家村-马鹦路141号,https://wuhan.anjuke.com/prop/view/A1828496163?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabb73.24952350&position=2384&kwtype=filter&now_time=1571040901
真实 纽宾凯锦城精装修三房，一线看芳岛，采光极好，全房无遮挡,3室2厅,119m²,高层(共33层),2000年建造,15087元/m²,180万,近地铁配套成熟环境优美,纽宾凯国际社区锦城  汉阳-四新-芳草路,https://wuhan.anjuke.com/prop/view/A1865443089?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabc40.14896147&position=2385&kwtype=filter&now_time=1571040901
白沙洲3环内地铁口 东原启城 小边户 南北通透 好学校,3室2厅,117m²,低层(共34层),2017年建造,14530元/m²,170万,,东原启城  洪山-白沙洲-烽胜路,https://wuhan.anjuke.com/prop/view/A1846857387?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabd04.83103197&position=2386&kwtype=filter&now_time=1571040901
枫叶国际华师一付汤逊湖学校旁边的天祥尚府精致小巧三房来袭,3室2厅,89m²,高层(共32层),2017年建造,17416元/m²,155万,安全性高繁华地段品质小区,天祥尚府  江夏-庙山-庙山中路,https://wuhan.anjuke.com/prop/view/A1829296731?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabdd1.17615014&position=2387&kwtype=filter&now_time=1571040901
广电兰亭时代  毛坯三房诚心出售 低于市场价,3室2厅,93m²,低层(共33层),2012年建造,16821元/m²,158万,繁华地段品质小区,广电兰亭时代  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1852373487?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabe95.14286070&position=2388&kwtype=filter&now_time=1571040901
地铁口 保利公园九里 豪装3房 南北通拎包入住  视野采光好,3室2厅,103m²,低层(共34层),2016年建造,22326元/m²,230万,南北通透,"保利公园九里(5期)  洪山-新南湖-南湖路,近富安街",https://wuhan.anjuke.com/prop/view/A1841418381?from=filter&spread=commsearch_p&uniqid=pc5da42e85cabf50.82280057&position=2389&kwtype=filter&now_time=1571040901
汉口花园三期 精装电梯大三房 中间楼层 房型正规 老诚售,3室2厅,118m²,高层(共11层),2010年建造,17458元/m²,206万,南北通透拎包入住环境优美,汉口花园淡莲轩  江岸-后湖-后湖大道56号,https://wuhan.anjuke.com/prop/view/A1845049305?from=filter&spread=commsearch_p&uniqid=pc5da42e85cac023.23675567&position=2390&kwtype=filter&now_time=1571040901
热推三环地铁边，金地格林春岸，湖景婚房，拎包入住，随时看,3室2厅,130m²,中层(共17层),2010年建造,15769元/m²,205万,近学校近地铁交通便利,金地格林春岸  东西湖-金银湖-金银湖南街3号,https://wuhan.anjuke.com/prop/view/A1843202955?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da42e85cac0f2.42361376&position=2391&kwtype=filter&now_time=1571040901
联投汉口郡二期，毛坯通透大三房，低于市场行情价，证满费用低！,3室2厅,116m²,高层(共18层),2017年建造,9741元/m²,113万,视野好安全性高品质小区,"联投汉口郡(二期)  黄陂-武湖-武黄路,近汉口北大道",https://wuhan.anjuke.com/prop/view/A1853042673?from=filter&spread=commsearch_p&uniqid=pc5da42e85cac1b4.67875760&position=2392&kwtype=filter&now_time=1571040901
纽宾凯麦德龙边 对口华师 精装修二房 赠送7平 随时看房!,2室2厅,68m²,高层(共46层),2000年建造,19118元/m²,130万,近地铁南北通透,纽宾凯国际社区蜜城  汉阳-四新-芳草路,https://wuhan.anjuke.com/prop/view/A1868011923?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85cac281.92772034&position=2393&kwtype=filter&now_time=1571040901
急售泛海国际悦海园 南北通透小三房 总价低 房子保养好,3室2厅,100m²,高层(共32层),2014年建造,28500元/m²,285万,近地铁南北通透配套成熟,泛海国际居住区悦海园  江汉-王家墩CBD-云杉路,https://wuhan.anjuke.com/prop/view/A1852194801?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85cac356.62624440&position=2394&kwtype=filter&now_time=1571040901
不限购  毛坯两房 中间楼层 房东急售  90万 看房有钥匙,2室2厅,80m²,高层(共18层),2013年建造,11313元/m²,90.5万,主卧朝南安全性高品质小区,学府丽城  蔡甸-江汉大学-博艺路,https://wuhan.anjuke.com/prop/view/A1865604153?from=filter&spread=commsearch_p&uniqid=pc5da42e85cac429.31257465&position=2395&kwtype=filter&now_time=1571040901
地铁口房东急售证满税少 一万一平正阳大悦城大两房 好楼层,2室2厅,88m²,高层(共30层),2015年建造,10000元/m²,88万,交通便利繁华地段品质小区,正阳大悦城  蔡甸-蔡甸城区-蔡甸大街,https://wuhan.anjuke.com/prop/view/A1864174971?from=filter&spread=commsearch_p&uniqid=pc5da42e85cac4f3.36658330&position=2396&kwtype=filter&now_time=1571040901
沙湖边花园式小区 梦湖水岸精装大三房 楼下即是沙湖公园 超值,3室2厅,134m²,低层(共22层),2008年建造,26045元/m²,349万,近学校近地铁繁华地段,梦湖水岸  武昌-积玉桥-友谊大道318号,https://wuhan.anjuke.com/prop/view/A1863127083?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da42e85cac5c9.65593770&position=2397&kwtype=filter&now_time=1571040901
对口（华师附小附中 ）永旺旁地铁口奥林匹克花园精装无茶水费,3室2厅,110m²,中层(共28层),2019年建造,13636元/m²,150万,新房房源双阳台繁华地段,美联奥林匹克花园五期  东西湖-常青花园-奥园西路2号,https://wuhan.anjuke.com/prop/view/A1788995811?from=filter&spread=commsearch_p&uniqid=pc5da42e85cac688.02825621&position=2398&kwtype=filter&now_time=1571040901
（店长力荐）海伦春天，毛坯三房，对口学校，居家事宜，有钥匙,3室1厅,97m²,高层(共39层),2017年建造,15258元/m²,148万,次新小区繁华地段品质小区,海伦春天(三期)  蔡甸-江汉大学-芳草一路,https://wuhan.anjuke.com/prop/view/A1860812697?from=filter&spread=commsearch_p&uniqid=pc5da42e85cac759.79074017&position=2399&kwtype=filter&now_time=1571040901
七里庙地铁口七里香苑 精装2房 底价来袭 随时看房,2室2厅,72m²,低层(共18层),2012年建造,17083元/m²,123万,近地铁次新小区交通便利,七里香苑  汉阳-王家湾-汉阳大道630号,https://wuhan.anjuke.com/prop/view/A1785654831?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42e85cac824.26079502&position=2400&kwtype=filter&now_time=1571040901
买房就找 东原启城物业租售中心 房源多 价格实惠 随时可看房,3室2厅,97m²,中层(共47层),2017年建造,15431元/m²,150万,房型正近地铁品质小区,东原启城  洪山-白沙洲-烽胜路,https://wuhan.anjuke.com/prop/view/A1868894823?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c7a92.65915809&position=2401&kwtype=filter&now_time=1571040954
仁义社区4楼 老证 品字户型 南北通透 对口沈阳路,2室1厅,62m²,中层(共8层),1996年建造,29516元/m²,183万,近地铁近学校,仁义社区  江岸-永清街-解放大道1332号,https://wuhan.anjuke.com/prop/view/A1842251565?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42eba3c7db0.78647079&position=2402&kwtype=filter&now_time=1571040954
蓝光林肯公园 毛坯大3房 南北通透 户型采光好高楼层既买既赚,3室2厅,105m²,高层(共47层),2016年建造,12381元/m²,130万,采光好房型正品质小区,蓝光林肯公园  硚口-古田-长谊路,https://wuhan.anjuke.com/prop/view/A1860655377?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c7e72.74981500&position=2403&kwtype=filter&now_time=1571040954
真信息 保利时代 精装修通透三房 中间楼层 户型方正降价出售,3室2厅,101m²,中层(共33层),2014年建造,24186元/m²,245万,环境优美繁华地段品质小区,保利时代(南区)  洪山-关山-新竹路,https://wuhan.anjuke.com/prop/view/A1790764869?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c7ef0.98336365&position=2404&kwtype=filter&now_time=1571040954
不限购 天纵城隔壁卓尔精装3房 拎包入住 南北通透,3室2厅,95m²,中层(共18层),2012年建造,13684元/m²,130万,房型正环境优美品质小区,卓尔生活城(一期)  黄陂-盘龙城-汉口北大道特1号,https://wuhan.anjuke.com/prop/view/A1862708169?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c7f79.43955827&position=2405&kwtype=filter&now_time=1571040954
新房江樾云著 东西湖吴家山 一号轻轨口毛坯4室2厅交通好,4室2厅,116m²,中层(共33层),2017年建造,12931元/m²,150万,新房房源南北通透繁华地段,金辉江樾云著  东西湖-吴家山-五环大道,https://wuhan.anjuke.com/prop/view/A1867924479?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c7fe4.37651943&position=2406&kwtype=filter&now_time=1571040954
二环口 百姓之春 精装好两房 明厨明卫 老证税费低 急售中,2室2厅,84m²,高层(共11层),2009年建造,14167元/m²,119万,近地铁配套成熟繁华地段,百姓之春  硚口-古田-长丰大道172号,https://wuhan.anjuke.com/prop/view/A1846612353?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8053.80840551&position=2407&kwtype=filter&now_time=1571040954
徐东汪家墩 地铁口附近 南北通透总价低3房 满5年 小洋房,3室2厅,122m²,高层(共9层),2005年建造,17134元/m²,210万,南北通透配套成熟交通便利,新世纪花园C区  洪山-铁机路-团结大道1015号,https://wuhan.anjuke.com/prop/view/A1864378119?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c80c5.36778976&position=2408&kwtype=filter&now_time=1571040954
文化大道旁 一线湖景 富丽金澜湾毛坯大三房 可随时看房,3室2厅,109m²,高层(共26层),2016年建造,10185元/m²,112万,,富丽金澜湾  江夏-纸坊-金龙大街,https://wuhan.anjuke.com/prop/view/A1866083781?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8130.92568410&position=2409&kwtype=filter&now_time=1571040954
急售105平仅160万！三环内精装小三房，天成美雅旁宜盛花园,3室2厅,105m²,中层(共26层),2016年建造,14286元/m²,150万,近地铁繁华地段品质小区,顺民宜盛花园  江夏-金融港-光谷一路,https://wuhan.anjuke.com/prop/view/A1855489089?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c81a7.73684984&position=2410&kwtype=filter&now_time=1571040954
（送10平大房间！）前后无遮挡，小区中间位置，8号线地铁口,3室2厅,84m²,中层(共18层),2009年建造,17857元/m²,150万,近地铁配套成熟环境优美,保利心语三期  洪山-新南湖-野芷湖西路,https://wuhan.anjuke.com/prop/view/A1868389851?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8216.86541117&position=2411&kwtype=filter&now_time=1571040954
急售泛海国际 悦海园 精装两室 老过户费低 高层南北通透！,2室2厅,89m²,高层(共32层),2014年建造,29775元/m²,265万,近地铁南北通透环境优美,泛海国际居住区悦海园  江汉-王家墩CBD-云杉路,https://wuhan.anjuke.com/prop/view/A1861109049?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42eba3c8282.41910821&position=2412&kwtype=filter&now_time=1571040954
真实价格 40万包干精装三房 光谷东花山碧桂园生态城左岸,3室2厅,95m²,中层(共32层),2014年建造,13684元/m²,130万,景观房近地铁品质小区,碧桂园生态城左岸  洪山-光谷东-夏芒路28号,https://wuhan.anjuke.com/prop/view/A1842282507?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c82f0.04072629&position=2413&kwtype=filter&now_time=1571040954
地铁口，上海公馆，正规两房，人车分流，急需资金周转，低于市场,2室2厅,78m²,低层(共32层),2016年建造,17935元/m²,140万,配套成熟环境优美品质小区,光明上海公馆  江岸-后湖-塔子湖东路,https://wuhan.anjuke.com/prop/view/A1869977505?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8362.30138406&position=2414&kwtype=filter&now_time=1571040954
园博园旁 华生城市广场北大露台  南北通透两房 有钥匙,2室2厅,78m²,低层(共16层),2015年建造,13486元/m²,106万,南北通透环境优美,华生汉口城市广场北区  硚口-古田-城华路,https://wuhan.anjuke.com/prop/view/A1838978931?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c83c2.28809171&position=2415&kwtype=filter&now_time=1571040954
拒绝虚假，开来都市丰景，29楼，采光好，交通便利,2室2厅,80m²,高层(共40层),2017年建造,15493元/m²,125万,近地铁,开来都市丰景  汉阳-四新-芳草五路,https://wuhan.anjuke.com/prop/view/A1840960569?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42eba3c84e0.62496343&position=2416&kwtype=filter&now_time=1571040954
"天汇龙旁名流后面毛坯两房,中百商圈,一小旁,,中楼层 无后期",2室2厅,85m²,高层(共26层),2017年建造,5647元/m²,48万,配套成熟繁华地段品质小区,下集还建小区  黄陂-盘龙城-巨龙大道,https://wuhan.anjuke.com/prop/view/A1804886841?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8558.03270927&position=2417&kwtype=filter&now_time=1571040954
（居中楼层 采光无敌）天勤花园 两房方正户型，房东诚售 随看,2室2厅,89m²,中层(共18层),2008年建造,14219元/m²,127万,近地铁环境优美素质住户,天勤花园  硚口-古田-长丰大道100号,https://wuhan.anjuke.com/prop/view/A1869801825?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42eba3c85c4.80609354&position=2418&kwtype=filter&now_time=1571040954
红领巾小学 泛海国际桂海园 精装通透两房 带总价低,2室2厅,90m²,中层(共28层),2016年建造,30155元/m²,272万,南北通透,泛海国际居住区桂海园  江汉-王家墩CBD-淮海路,https://wuhan.anjuke.com/prop/view/A1855652025?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8628.95267125&position=2419&kwtype=filter&now_time=1571040954
碧桂园生态城依云 业主自住精装三房两卫 产证满二 随时看房,3室2厅,89m²,中层(共28层),2016年建造,14382元/m²,128万,南北通透拎包入住品质小区,碧桂园生态城依云  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1850688471?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8692.35607952&position=2420&kwtype=filter&now_time=1571040954
绿地国际理想城 光谷六初 十八小 业主降价20万急售,3室2厅,120m²,低层(共33层),2016年建造,16250元/m²,195万,安全性高繁华地段品质小区,绿地国际理想城  洪山-光谷东-光谷四路,https://wuhan.anjuke.com/prop/view/A1831932849?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8707.41359460&position=2421&kwtype=filter&now_time=1571040954
阳光100大湖第精装小两房 68平只要100万 拎包入住 速,2室2厅,67m²,中层(共26层),2016年建造,14765元/m²,100万,南北通透近入口配套成熟,阳光100大湖第  江夏-藏龙岛-杨桥湖大道2号,https://wuhan.anjuke.com/prop/view/A1846227405?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8763.63246563&position=2422&kwtype=filter&now_time=1571040954
红旗公寓 交通方便 配套商圈 电梯房 汉口火车站背后,2室2厅,88m²,高层(共11层),2006年建造,16423元/m²,146万,近地铁繁华地段品质小区,红旗公寓  江汉-汉口火车站-站北路7号,https://wuhan.anjuke.com/prop/view/A1856861139?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42eba3c87d3.05097282&position=2423&kwtype=filter&now_time=1571040954
蓝光林肯公园 毛坯好三房 南北双阳台 视野开阔 钥匙看房,3室2厅,121m²,中层(共37层),2017年建造,13058元/m²,158万,近地铁配套成熟繁华地段,蓝光林肯公园  硚口-古田-长谊路,https://wuhan.anjuke.com/prop/view/A1855110693?from=filter&spread=commsearch_p&uniqid=pc5da42eba3c8845.32118106&position=2424&kwtype=filter&now_time=1571040954
